	reads.in	reads.out
SRR11733574_1.fastq.gz	21816	17012
SRR11733576_1.fastq.gz	21208	16354
SRR11733578_1.fastq.gz	22918	18638
SRR11733580_1.fastq.gz	23168	18460
SRR11733584_1.fastq.gz	25526	20494
SRR11733587_1.fastq.gz	28150	21670
SRR11733590_1.fastq.gz	18006	14555
SRR11733593_1.fastq.gz	25820	20905
SRR11733597_1.fastq.gz	23845	18024
SRR11733600_1.fastq.gz	23561	17389
SRR11733603_1.fastq.gz	15723	12522
SRR11733607_1.fastq.gz	22094	17247
SRR11733610_1.fastq.gz	32708	27009
SRR11733613_1.fastq.gz	35911	29029
SRR11733618_1.fastq.gz	25483	20810
SRR11733621_1.fastq.gz	21509	17676
SRR11733624_1.fastq.gz	14369	11901
SRR11733628_1.fastq.gz	16938	13488
SRR11733631_1.fastq.gz	21559	17072
SRR11733634_1.fastq.gz	24226	19705
SRR11733638_1.fastq.gz	34276	25620
SRR11733641_1.fastq.gz	25597	16617
SRR11733644_1.fastq.gz	19767	15161
SRR11733647_1.fastq.gz	21329	17115
SRR11733651_1.fastq.gz	24962	19477
SRR11733681_1.fastq.gz	16129	13622
SRR11733684_1.fastq.gz	21361	17429
SRR11733687_1.fastq.gz	25502	20743
SRR11733690_1.fastq.gz	22277	18637
SRR11733694_1.fastq.gz	21832	17582
SRR11733697_1.fastq.gz	23261	18534
SRR11733700_1.fastq.gz	28253	18925
SRR11733704_1.fastq.gz	20836	14585
SRR11733707_1.fastq.gz	24884	18243
SRR11733710_1.fastq.gz	19731	14787
SRR11733715_1.fastq.gz	19999	14611
SRR11733718_1.fastq.gz	15586	12394
SRR11733721_1.fastq.gz	23646	18195
SRR11733725_1.fastq.gz	29816	21552
SRR11733728_1.fastq.gz	40251	32405
SRR11733731_1.fastq.gz	27364	18476
SRR11733748_1.fastq.gz	28528	22997
SRR11733778_1.fastq.gz	17771	12932
SRR11733781_1.fastq.gz	18729	13732
SRR11733784_1.fastq.gz	22686	16835
SRR11733787_1.fastq.gz	21746	16164
SRR11733791_1.fastq.gz	26381	20140
SRR11733794_1.fastq.gz	25162	19419
SRR11733797_1.fastq.gz	26447	21074
SRR11733801_1.fastq.gz	18348	14966
SRR11733804_1.fastq.gz	18839	15578
SRR11733807_1.fastq.gz	21168	16791
SRR11733809_1.fastq.gz	22227	18571
SRR11733812_1.fastq.gz	24745	19967
SRR11733815_1.fastq.gz	23036	17851
SRR11733818_1.fastq.gz	22644	18396
SRR11733821_1.fastq.gz	29490	22146
SRR11733854_1.fastq.gz	29205	23094
