Dataset_ID	Num_ASVs_Min	Num_ASVs_Mean	Num_ASVs_Median	Num_ASVs_Max	Num_ASVs_SD
16S_102_Bodkhe	12.0	390.12745098039215	360.0	1184.0	208.13783854225574
16S_119_Salamon	39.0	416.5378151260504	434.0	998.0	143.20335131931859
16S_1211_Milletich	8.0	102.86787778695293	97.0	345.0	41.77466965951871
16S_136_Nobel	456.0	882.7647058823529	875.5	1695.0	221.25129789262735
16S_179_Verdu	25.0	136.5977653631285	126.0	316.0	53.706288162902965
16S_20_Caminero	0.0	79.1	63.5	245.0	72.78945846177106
16S_20_Rawson	50.0	105.1	100.0	202.0	44.886875352906536
16S_227_Oscarsson	119.0	460.74449339207047	436.0	1103.0	170.42192799798963
16S_24_Giacomin	35.0	71.125	59.5	194.0	36.44330021327354
16S_25_Francavilla	6.0	47.12	15.0	114.0	45.85059069048801
16S_27_Federica	62.0	153.96296296296296	130.0	390.0	68.15902303915765
16S_27_Fornasaro	138.0	203.55555555555554	211.0	268.0	41.73850217847502
16S_39_Olivares	11.0	35.38461538461539	34.0	83.0	15.19801819596951
16S_49_Turjeman	70.0	128.9387755102041	121.0	231.0	38.38858780248874
16S_50_Bibbo	152.0	268.16	263.0	409.0	64.13485791673668
16S_56_Laffaldano	27.0	83.73214285714286	83.5	166.0	27.49710138206543
16S_5_Senicar	105.0	234.6	263.0	336.0	106.50023474152533
16S_60_Shi	242.0	1349.65	1377.5	1897.0	339.0324630724161
16S_62_Tian	23.0	169.83870967741936	167.5	467.0	68.79410800837837
16S_68_Girdhar	16.0	82.98529411764706	87.0	143.0	25.403309601667537
16S_80_Garcia	49.0	221.5375	210.0	396.0	87.33348622639369
16S_96_Quagliariello	0.0	582.0833333333334	572.5	1803.0	299.3964689404921
16S_99_Lionetti	373.0	1450.2222222222222	1458.0	2272.0	360.46578584720066
