Dataset_ID	Num_Reads_Nonchim_Min	Num_Reads_Nonchim_Mean	Num_Reads_Nonchim_Median	Num_Reads_Nonchim_Max	Num_Reads_Nonchim_SD
16S_102_Bodkhe	2195.0	210266.10784313726	196162.5	482380.0	79963.95583331908
16S_119_Salamon	1677.0	25496.243697478993	22853.0	203923.0	18876.954877761862
16S_1211_Milletich	1229.0	42005.16350123865	40203.0	279212.0	20044.412353852167
16S_136_Nobel	9865.0	24471.735294117647	22650.0	51288.0	7521.308185302648
16S_179_Verdu	873.0	70099.36312849162	62705.0	331005.0	51521.78296753632
16S_20_Caminero	0.0	73269.25	72187.5	137001.0	38147.51450946706
16S_20_Rawson	1523.0	3416.8	3138.0	7434.0	1538.5492688346314
16S_227_Oscarsson	3751.0	16153.189427312775	14371.0	43413.0	7955.61151620049
16S_24_Giacomin	61391.0	139414.125	141047.5	256495.0	49499.9785782233
16S_25_Francavilla	240.0	3264.04	1943.0	6732.0	2166.1718822229536
16S_27_Federica	4411.0	11997.592592592593	9952.0	33271.0	5924.582875672536
16S_27_Fornasaro	33553.0	67504.03703703704	70385.0	96596.0	14150.701655562147
16S_39_Olivares	3422.0	11081.641025641025	10859.0	19647.0	4496.778967024353
16S_49_Turjeman	4371.0	19139.04081632653	19436.0	41156.0	8803.892976403451
16S_50_Bibbo	17805.0	49935.98	51741.0	87074.0	15288.627753707278
16S_56_Laffaldano	2143.0	11046.67857142857	9890.5	27641.0	5706.034397841521
16S_5_Senicar	4232.0	7132.4	8127.0	10090.0	2577.335503965287
16S_60_Shi	23719.0	51401.066666666666	50854.0	96381.0	14643.411675118801
16S_62_Tian	10912.0	42459.77419354839	40807.5	83755.0	17170.696740037645
16S_68_Girdhar	4154.0	12502.25	12028.5	26736.0	3418.10587931954
16S_80_Garcia	13856.0	63518.9375	66049.5	114199.0	23992.238899300493
16S_96_Quagliariello	0.0	33331.71875	29478.0	464395.0	46773.478267227496
16S_99_Lionetti	14054.0	34205.393939393936	34577.0	45646.0	4239.387587699242
